age,job_type,education,education_num,job,marital_status,religion,gender,hours_per_week,income
47,Private,10th,6,Executive,Unmarried,ST,Female,45,less than 30 k INR
40,Private,10th,6,Mechanic,Unmarried,ST,Male,40,less than 30 k INR
30,Private,10th,6,Other-service,Unmarried,ST,Male,40,less than 30 k INR
27,Private,10th,6,Taxi-driver,Unmarried,ST,Male,75,less than 30 k INR
38,Private,10th,6,Driver,Unmarried,Christians,Female,40,less than 30 k INR
54,Private,10th,6,Other-service,Unmarried,Muslim,Female,10,less than 30 k INR
61,Private,10th,6,Other-service,Unmarried,Muslim,Female,24,less than 30 k INR
29,Private,10th,6,Driver,Unmarried,Muslim,Female,25,less than 30 k INR
51,Private,10th,6,Mechanic,Unmarried,Muslim,Female,35,less than 30 k INR
45,Private,10th,6,Other-service,Unmarried,Muslim,Female,38,less than 30 k INR
59,Private,10th,6,Police,Unmarried,Muslim,Female,40,less than 30 k INR
40,Private,10th,6,Driver,Unmarried,Muslim,Female,40,less than 30 k INR
60,Private,10th,6,Other-service,Unmarried,Muslim,Female,40,less than 30 k INR
66,Government,10th,6,Other-service,Unmarried,Muslim,Female,40,less than 30 k INR
49,Private,10th,6,Driver,Unmarried,Muslim,Male,40,less than 30 k INR
58,Private,10th,6,Taxi-driver,Unmarried,Muslim,Male,50,less than 30 k INR
34,Private,10th,6,Driver,Unmarried,Muslim,Male,60,less than 30 k INR
74,Private,10th,6,Other-service,Unmarried,Hindu,Female,1,less than 30 k INR
65,Private,10th,6,Domestic Servants,Unmarried,Hindu,Female,28,less than 30 k INR
26,Private,10th,6,Domestic Servants,Unmarried,Hindu,Female,30,less than 30 k INR
40,Private,10th,6,Driver,Unmarried,Hindu,Female,35,less than 30 k INR
33,Private,10th,6,Domestic Servants,Unmarried,Hindu,Female,36,less than 30 k INR
59,Government,10th,6,Other-service,Unmarried,Hindu,Female,37,less than 30 k INR
48,Private,10th,6,Sales,Unmarried,Hindu,Female,38,less than 30 k INR
60,Private,10th,6,Driver,Unmarried,Hindu,Female,40,less than 30 k INR
59,Private,10th,6,Driver,Unmarried,Hindu,Female,40,less than 30 k INR
38,Private,10th,6,Driver,Unmarried,Hindu,Female,40,less than 30 k INR
33,Private,10th,6,Driver,Unmarried,Hindu,Female,40,less than 30 k INR
27,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
28,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
19,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
36,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
28,Private,10th,6,Sales,Unmarried,Hindu,Female,40,less than 30 k INR
45,Private,10th,6,Sales,Unmarried,Hindu,Female,40,less than 30 k INR
50,Private,10th,6,Sales,Unmarried,Hindu,Female,50,less than 30 k INR
39,Private,10th,6,Other-service,Unmarried,Hindu,Female,60,less than 30 k INR
68,Private,10th,6,Taxi-driver,Unmarried,Hindu,Male,20,less than 30 k INR
61,Private,10th,6,Other-service,Unmarried,Hindu,Male,24,less than 30 k INR
33,Private,10th,6,Mechanic,Unmarried,Hindu,Male,35,less than 30 k INR
31,Private,10th,6,Mechanic,Unmarried,Hindu,Male,38,less than 30 k INR
53,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
46,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
37,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
38,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
32,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
28,Private,10th,6,Domestic Servants,Unmarried,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Domestic Servants,Unmarried,Hindu,Male,40,less than 30 k INR
32,Private,10th,6,Driver,Unmarried,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Other-service,Unmarried,Hindu,Male,40,less than 30 k INR
33,Government,10th,6,Taxi-driver,Unmarried,Hindu,Male,40,less than 30 k INR
39,Private,10th,6,Taxi-driver,Unmarried,Hindu,Male,40,less than 30 k INR
56,Private,10th,6,Mechanic,Unmarried,Hindu,Male,45,less than 30 k INR
50,Private,10th,6,Mechanic,Unmarried,Hindu,Male,45,less than 30 k INR
60,Private,10th,6,Farmer,Unmarried,Hindu,Male,48,less than 30 k INR
49,Private,10th,6,Other-service,Unmarried,Hindu,Male,48,less than 30 k INR
41,Private,10th,6,Sales,Unmarried,Hindu,Male,48,less than 30 k INR
40,Private,10th,6,Mechanic,Unmarried,Hindu,Male,50,less than 30 k INR
35,Private,10th,6,Driver,Unmarried,Hindu,Male,50,less than 30 k INR
56,Private,10th,6,Mechanic,Unmarried,Hindu,Male,56,less than 30 k INR
35,Private,10th,6,Mechanic,Unmarried,Hindu,Male,60,less than 30 k INR
54,Private,10th,6,Other-service,Unmarried,Hindu,Male,70,less than 30 k INR
29,Private,10th,6,Mechanic,Unmarried,Hindu,Male,80,less than 30 k INR
36,Private,10th,6,Mechanic,Unmarried,Muslim,Male,40,less than 30 k INR
52,Private,10th,6,Other-service,Unmarried,Hindu,Female,25,less than 30 k INR
31,Private,10th,6,Sales,Unmarried,Hindu,Female,40,less than 30 k INR
57,Private,10th,6,Police,Unmarried,Hindu,Female,70,less than 30 k INR
46,Private,10th,6,Police,Unmarried,Muslim,Male,40,less than 30 k INR
39,Government,10th,6,Domestic Servants,Unmarried,Muslim,Male,40,less than 30 k INR
28,Private,10th,6,Driver,Unmarried,Hindu,Female,40,less than 30 k INR
62,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
22,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
36,Private,10th,6,Sales,Unmarried,Hindu,Male,40,less than 30 k INR
56,Private,10th,6,Sales,Unmarried,Hindu,Male,40,less than 30 k INR
40,Private,10th,6,Taxi-driver,Unmarried,Hindu,Male,40,less than 30 k INR
57,Private,10th,6,Executive,Unmarried,Hindu,Male,60,more than 30 k INR
32,Private,10th,6,Other-service,Unmarried,Muslim,Female,23,less than 30 k INR
56,Private,10th,6,Police,Unmarried,Muslim,Female,36,less than 30 k INR
45,Private,10th,6,Other-service,Unmarried,Muslim,Female,40,less than 30 k INR
39,Private,10th,6,Other-service,Unmarried,Muslim,Female,40,less than 30 k INR
56,Private,10th,6,Other-service,Unmarried,Muslim,Female,45,less than 30 k INR
